date,close,pb
2016-06-16,5.57,0.829429
2016-06-17,5.56,0.827939
2016-06-20,5.55,0.82645
2016-06-21,5.57,0.829429
2016-06-22,5.6,0.833896
2016-06-23,5.64,0.839852
2016-06-24,5.59,0.832407
2016-06-27,5.6,0.833896
2016-06-28,5.6,0.833896
2016-06-29,5.7,0.848787
2016-06-30,5.67,0.84432
2016-07-01,5.67,0.84432
2016-07-04,5.73,0.853254
2016-07-05,5.75,0.856232
2016-07-06,5.74,0.854743
2016-07-07,5.76,0.857721
2016-07-08,5.72,0.851765
2016-07-11,5.72,0.851765
2016-07-12,5.83,0.868145
2016-07-13,5.96,0.887503
2016-07-14,6.02,0.896438
2016-07-15,6.06,0.902394
2016-07-18,6.26,0.932176
2016-07-19,6.17,0.918775
2016-07-20,6.13,0.912818
2016-07-21,6.14,0.914307
2016-07-22,6.13,0.912818
2016-07-25,5.85,0.871123
2016-07-26,5.9,0.878569
2016-07-27,5.93,0.883036
2016-07-28,5.87,0.874102
2016-07-29,5.99,0.891971
2016-08-01,6.02,0.896438
2016-08-02,5.95,0.886014
2016-08-03,5.9,0.878569
2016-08-04,5.89,0.87708
2016-08-05,5.96,0.887503
2016-08-08,6.0,0.89346
2016-08-09,6.06,0.902394
2016-08-10,6.05,0.900905
2016-08-11,6.23,0.927709
2016-08-12,6.43,0.957491
2016-08-15,6.67,0.99323
2016-08-16,6.58,0.979828
2016-08-17,6.5,0.967915
2016-08-18,6.48,0.964937
2016-08-19,6.43,0.957491
2016-08-22,6.44,0.95898
2016-08-23,6.39,0.951535
2016-08-24,6.32,0.941111
2016-08-25,6.34,0.944089
2016-08-26,6.37,0.944793
2016-08-29,6.28,0.931444
2016-08-30,6.31,0.935894
2016-08-31,6.35,0.941827
2016-09-01,6.34,0.940344
2016-09-02,6.29,0.932928
2016-09-05,6.3,0.934411
2016-09-06,6.27,0.929961
2016-09-07,6.23,0.924028
2016-09-08,6.22,0.922545
2016-09-09,6.13,0.909197
2016-09-12,5.99,0.888432
2016-09-13,5.95,0.882499
2016-09-14,5.87,0.870634
2016-09-19,5.88,0.872117
2016-09-20,5.91,0.876566
2016-09-21,5.94,0.881016
2016-09-22,5.95,0.882499
2016-09-23,5.96,0.883982
2016-09-26,5.87,0.870634
2016-09-27,5.91,0.876566
2016-09-28,5.89,0.8736
2016-09-29,5.94,0.881016
2016-09-30,5.98,0.886949
2016-10-10,6.01,0.891398
2016-10-11,6.0,0.889915
2016-10-12,5.97,0.885465
2016-10-13,5.97,0.885465
2016-10-14,5.96,0.883982
2016-10-17,5.96,0.883982
2016-10-18,6.03,0.894365
2016-10-19,6.06,0.898814
2016-10-20,6.08,0.901781
2016-10-21,6.1,0.904747
2016-10-24,6.16,0.913646
2016-10-25,6.17,0.915129
2016-10-26,6.09,0.903264
2016-10-27,6.05,0.897331
2016-10-28,6.12,0.875268
2016-10-31,6.07,0.868117
2016-11-01,6.09,0.870978
2016-11-02,5.96,0.852386
2016-11-03,6.01,0.859536
2016-11-04,6.06,0.866687
2016-11-07,6.05,0.865257
2016-11-08,6.18,0.883849
2016-11-09,6.13,0.876699
2016-11-10,6.22,0.88957
2016-11-11,6.33,0.905302
2016-11-14,6.42,0.918174
2016-11-15,6.35,0.908162
2016-11-16,6.33,0.905302
2016-11-17,6.35,0.908162
2016-11-18,6.32,0.903872
2016-11-21,6.45,0.922464
2016-11-22,6.61,0.945347
2016-11-23,6.89,0.985392
2016-11-24,6.9,0.986822
2016-11-25,6.93,0.991113
2016-11-28,6.99,0.999694
2016-11-29,6.92,0.989683
2016-11-30,6.72,0.961079
2016-12-01,6.74,0.963939
2016-12-02,6.72,0.961079
2016-12-05,6.72,0.961079
2016-12-06,6.68,0.955358
2016-12-07,6.68,0.955358
2016-12-08,6.94,0.992543
2016-12-09,7.19,1.028297
2016-12-12,7.15,1.022577
