date,close,pb
2022-01-17,5.14,1.247996
2022-01-18,5.65,1.371825
2022-01-19,6.22,1.510221
2022-01-20,6.84,1.660758
2022-01-21,7.2,1.748166
2022-01-24,6.48,1.57335
2022-01-25,5.83,1.415529
2022-01-26,5.3,1.286845
2022-01-27,5.83,1.415529
2022-01-28,5.3,1.286845
2022-02-07,5.47,1.328121
2022-02-08,6.02,1.461661
2022-02-09,6.32,1.534501
2022-02-10,6.23,1.512649
2022-02-11,6.85,1.663186
2022-02-14,6.25,1.517505
2022-02-15,6.39,1.551497
2022-02-16,6.34,1.539357
2022-02-17,5.88,1.427669
2022-02-18,5.92,1.437381
2022-02-21,5.81,1.410673
2022-02-22,5.65,1.371825
2022-02-23,5.71,1.386393
2022-02-24,5.66,1.374253
2022-02-25,5.59,1.357257
2022-02-28,5.43,1.318409
2022-03-01,5.61,1.362113
2022-03-02,5.54,1.345117
2022-03-03,5.47,1.328121
2022-03-04,5.24,1.272277
2022-03-07,5.25,1.274705
2022-03-08,5.34,1.296557
2022-03-09,5.87,1.425241
2022-03-10,5.56,1.349973
2022-03-11,5.63,1.366969
2022-03-14,5.37,1.303841
2022-03-15,5.38,1.306269
2022-03-16,5.92,1.437381
2022-03-17,5.81,1.410673
2022-03-18,6.09,1.478657
2022-03-21,5.93,1.439809
2022-03-22,6.12,1.485941
2022-03-23,5.9,1.432525
2022-03-24,5.75,1.396105
2022-03-25,5.73,1.391249
2022-03-28,5.73,1.391249
2022-03-29,5.76,1.398533
2022-03-30,5.94,1.442237
2022-03-31,6.05,1.468945
2022-04-01,6.23,1.512649
2022-04-06,6.2,1.505365
2022-04-07,6.09,1.478657
2022-04-08,6.21,1.507793
2022-04-11,5.67,1.376681
2022-04-12,5.73,1.391249
2022-04-13,5.6,1.359685
2022-04-14,5.65,1.371825
2022-04-15,5.67,1.376681
2022-04-18,5.35,1.298985
2022-04-19,5.35,1.298985
2022-04-20,5.24,1.272277
2022-04-21,5.32,1.291701
2022-04-22,5.42,1.315981
2022-04-25,5.48,1.330549
2022-04-26,5.08,1.233428
2022-04-27,5.03,1.221288
2022-04-28,4.91,1.071124
2022-04-29,4.96,1.082031
2022-05-05,4.94,1.077668
2022-05-06,4.7,1.025312
2022-05-09,4.71,1.027493
2022-05-10,4.74,1.034038
2022-05-11,4.84,1.055853
2022-05-12,4.79,1.044945
2022-05-13,4.78,1.042764
2022-05-16,4.74,1.034038
2022-05-17,4.73,1.031856
2022-05-18,4.79,1.044945
2022-05-19,4.74,1.034038
2022-05-20,4.83,1.053671
2022-05-23,4.84,1.055853
2022-05-24,4.67,1.018767
2022-05-25,4.71,1.027493
2022-05-26,4.72,1.029675
2022-05-27,4.67,1.018767
2022-05-30,4.64,1.012223
2022-05-31,4.66,1.016586
2022-06-01,4.62,1.00786
2022-06-02,4.57,0.996952
2022-06-06,4.67,1.018767
2022-06-07,4.76,1.038401
2022-06-08,4.74,1.034038
2022-06-09,4.95,1.07985
2022-06-10,4.97,1.084213
2022-06-13,4.82,1.05149
2022-06-14,5.3,1.156203
2022-06-15,5.53,1.206378
2022-06-16,5.06,1.103846
2022-06-17,5.07,1.106028
2022-06-20,5.01,1.092939
2022-06-21,5.01,1.092939
2022-06-22,4.91,1.071124
2022-06-23,5.05,1.101665
2022-06-24,4.98,1.086394
2022-06-27,4.97,1.084213
2022-06-28,5.01,1.092939
2022-06-29,4.94,1.077668
2022-06-30,4.92,1.073305
2022-07-01,4.85,1.058035
2022-07-04,4.85,1.058035
2022-07-05,4.82,1.05149
2022-07-06,4.74,1.034038
2022-07-07,4.73,1.031856
2022-07-08,4.75,1.036219
2022-07-11,4.79,1.044945
2022-07-12,4.85,1.058035
2022-07-13,4.79,1.044945
2022-07-14,4.66,1.016586
2022-07-15,4.64,1.012223
2022-07-18,4.7,1.025312
2022-07-19,4.73,1.031856
2022-07-20,4.73,1.031856
2022-07-21,4.6,1.003497
2022-07-22,4.63,1.010041
2022-07-25,4.6,1.003497
2022-07-26,4.62,1.00786
2022-07-27,4.58,0.999134
2022-07-28,4.61,1.005678
2022-07-29,4.55,0.992589
2022-08-01,4.51,0.983863
2022-08-02,4.31,0.940233
2022-08-03,4.25,0.927144
2022-08-04,4.31,0.940233
2022-08-05,4.36,0.95114
2022-08-08,4.35,0.948959
2022-08-09,4.32,0.942414
2022-08-10,4.3,0.938051
2022-08-11,4.54,0.990408
2022-08-12,4.47,0.975137
2022-08-15,4.41,0.962048
2022-08-16,4.45,0.970774
2022-08-17,4.5,0.981682
2022-08-18,4.43,0.966411
2022-08-19,4.42,0.964229
2022-08-22,4.43,0.966411
2022-08-23,4.43,0.966411
2022-08-24,4.39,0.957685
2022-08-25,4.47,0.975137
2022-08-26,4.43,0.966411
2022-08-29,4.4,0.959866
2022-08-30,4.42,0.972166
2022-08-31,4.47,0.983163
2022-09-01,4.39,0.965567
2022-09-02,4.37,0.961168
2022-09-05,4.39,0.965567
2022-09-06,4.4,0.967767
2022-09-07,4.36,0.958969
2022-09-08,4.36,0.958969
2022-09-09,4.43,0.974365
2022-09-13,4.46,0.980964
2022-09-14,4.43,0.974365
2022-09-15,4.4,0.967767
2022-09-16,4.22,0.928176
2022-09-19,4.15,0.91278
2022-09-20,4.15,0.91278
2022-09-21,4.17,0.917179
2022-09-22,4.13,0.908381
2022-09-23,4.1,0.901783
2022-09-26,3.99,0.877588
2022-09-27,4.03,0.886386
2022-09-28,4.14,0.910581
2022-09-29,4.07,0.895184
2022-09-30,4.03,0.886386
2022-10-10,3.95,0.868791
2022-10-11,3.94,0.866591
2022-10-12,3.99,0.877588
2022-10-13,3.96,0.87099
2022-10-14,4.02,0.884187
2022-10-17,4.05,0.890785
